	cellType	gene	log1p_FC	pct.inGroup	pct.outGroup	wilcox.p	wilcox.fdr	wilcox.bonferroni
858	AT1	ARHGEF26	1.084355456	0.944444444	0.706498952	8.84804E-34	2.0085E-32	6.02551E-31
863	AT1	ANKRD1	0.793430958	0.722222222	0.174004193	1.97211E-33	3.83717E-32	1.34301E-30
867	AT1	LAMA3	1.282133117	0.944444444	0.737945493	1.07969E-32	1.88531E-31	7.35271E-30
868	AT1	ATF7IP2	1.796714153	0.944444444	0.876310273	1.67414E-32	2.85022E-31	1.14009E-29
876	AT1	ENSG00000257894	1.077619398	0.916666667	0.658280922	8.23185E-31	1.16789E-29	5.60589E-28
880	AT1	WWC2	0.951172869	0.972222222	0.882599581	1.40434E-29	1.83915E-28	9.56358E-27
881	AT1	LINC01290	1.18866625	0.888888889	0.626834382	1.48596E-29	1.90932E-28	1.01194E-26
889	AT1	SEMA3B	0.741607636	0.902777778	0.668763103	3.24678E-28	3.62469E-27	2.21106E-25
890	AT1	ST6GALNAC5	0.710159443	0.847222222	0.429769392	3.65998E-28	4.02007E-27	2.49244E-25
891	AT1	EPS8L2	0.602944155	0.930555556	0.77148847	4.25177E-28	4.59596E-27	2.89546E-25
899	AT1	MRPL14	0.78651324	0.930555556	0.830188679	5.31085E-27	5.09393E-26	3.61669E-24
900	AT1	MS4A15	0.604939618	0.777777778	0.306079665	5.43326E-27	5.13896E-26	3.70005E-24
910	AT1	SFTA1P	0.752443946	0.888888889	0.591194969	9.48645E-26	7.7835E-25	6.46027E-23
912	AT1	PDLIM2	0.610373874	0.902777778	0.72327044	1.44762E-25	1.17361E-24	9.85829E-23
913	AT1	EHD2	0.650989718	0.875	0.65408805	1.70147E-25	1.36318E-24	1.1587E-22
918	AT1	C1orf198	0.529466368	0.861111111	0.628930818	1.1046E-24	8.32217E-24	7.52234E-22
920	AT1	NDNF	0.648322487	0.847222222	0.5639413	1.48456E-24	1.0989E-23	1.01099E-21
929	AT1	EFNA1	0.595472326	0.902777778	0.790356394	6.05677E-24	4.08382E-23	4.12466E-21
933	AT1	TMEM63B	0.584552591	0.944444444	0.765199161	1.42273E-23	9.22743E-23	9.6888E-21
934	AT1	C12orf49	0.585306395	0.875	0.731656184	1.65208E-23	1.06138E-22	1.12506E-20
939	AT1	DENND3	0.691426067	0.875	0.767295597	6.71518E-23	4.11985E-22	4.57304E-20
940	AT1	NBEAL2	0.411785916	0.847222222	0.547169811	7.5541E-23	4.59317E-22	5.14434E-20
948	AT1	PLLP	0.469563226	0.861111111	0.689727463	2.88682E-22	1.63827E-21	1.96592E-19
954	AT1	NDST1	0.459056464	0.875	0.681341719	5.36196E-22	2.89801E-21	3.6515E-19
959	AT1	COL12A1	0.587943172	0.819444444	0.5639413	7.469E-22	3.88274E-21	5.08639E-19
973	AT1	STARD7	0.483318692	0.875	0.763102725	3.71525E-21	1.74489E-20	2.53009E-18
974	AT1	MYO16	0.81434355	0.819444444	0.595387841	4.31153E-21	2.01106E-20	2.93615E-18
975	AT1	PCYOX1	0.554610111	0.875	0.813417191	7.44344E-21	3.44829E-20	5.06898E-18
978	AT1	SPRYD7	0.38705471	0.819444444	0.622641509	1.29377E-20	5.87374E-20	8.81061E-18
979	AT1	GGT1	0.552165931	0.763888889	0.465408805	1.52838E-20	6.8929E-20	1.04083E-17
980	AT1	CGN	0.496790403	0.888888889	0.746331237	1.80966E-20	8.10774E-20	1.23238E-17
981	AT1	KIF1C	0.449573128	0.875	0.725366876	1.98604E-20	8.83672E-20	1.35249E-17
982	AT1	MYO1C	0.500918736	0.861111111	0.786163522	1.99832E-20	8.83672E-20	1.36085E-17
984	AT1	ENSG00000261553	0.645768379	0.986111111	0.870020964	2.5497E-20	1.11304E-19	1.73634E-17
988	AT1	UNC13D	0.416877408	0.791666667	0.547169811	4.20384E-20	1.78926E-19	2.86281E-17
990	AT1	FADS3	0.313546197	0.791666667	0.522012579	5.00617E-20	2.10444E-19	3.4092E-17
993	AT1	IRX2	0.434162592	0.875	0.681341719	5.72286E-20	2.36198E-19	3.89727E-17
998	AT1	TSPAN4	0.436470192	0.861111111	0.664570231	1.37855E-19	5.52229E-19	9.3879E-17
999	AT1	SCUBE1	0.352516348	0.680555556	0.295597484	2.20668E-19	8.74698E-19	1.50275E-16
1000	AT1	TMEM160	0.495345567	0.888888889	0.761006289	2.20922E-19	8.74698E-19	1.50448E-16
1001	AT1	TMEM125	0.401998607	0.861111111	0.670859539	2.30998E-19	9.09302E-19	1.57309E-16
1002	AT1	MYRF	0.438977559	0.75	0.396226415	2.58749E-19	1.01269E-18	1.76208E-16
1004	AT1	GKN2	0.37011073	0.75	0.364779874	3.21753E-19	1.24497E-18	2.19114E-16
1008	AT1	CAPNS1	0.486568496	0.916666667	0.836477987	1.4428E-18	5.45859E-18	9.82545E-16
1012	AT1	GPRC5D-AS1	0.843714442	0.930555556	0.844863732	1.80212E-18	6.66981E-18	1.22724E-15
1016	AT1	PLXNA1	0.306881621	0.805555556	0.576519916	2.05683E-18	7.45056E-18	1.4007E-15
1017	AT1	PARD6B	0.647414982	0.958333333	0.895178197	2.21942E-18	7.99695E-18	1.51142E-15
1024	AT1	ALDH3A2	0.469035391	0.888888889	0.796645702	4.29219E-18	1.49132E-17	2.92298E-15
1037	AT1	VSIG2	0.379350448	0.805555556	0.645702306	1.31207E-17	4.2752E-17	8.93516E-15
1040	AT1	PTPN21	0.466239933	0.833333333	0.706498952	1.66263E-17	5.34079E-17	1.13225E-14
1042	AT1	LAMB2	0.415750422	0.819444444	0.683438155	2.12304E-17	6.75604E-17	1.44579E-14
1048	AT1	ABCA7	0.465210079	0.861111111	0.696016771	2.87638E-17	8.9037E-17	1.95882E-14
1052	AT1	SNAP23	0.376243649	0.916666667	0.815513627	4.61686E-17	1.3982E-16	3.14408E-14
1059	AT1	SLC19A1	0.338319631	0.763888889	0.513626834	8.03344E-17	2.3683E-16	5.47077E-14
1060	AT1	WASF3	0.342743551	0.861111111	0.696016771	8.15692E-17	2.39434E-16	5.55486E-14
1065	AT1	SNX24	0.374896679	0.861111111	0.78197065	1.11531E-16	3.20476E-16	7.59529E-14
1080	AT1	CFL2	0.3095714	0.805555556	0.675052411	3.41529E-16	9.22942E-16	2.32581E-13
1085	AT1	KLF13	0.303835446	0.888888889	0.744234801	4.63885E-16	1.22921E-15	3.15906E-13
1090	AT1	ENSG00000279662	0.319413354	0.666666667	0.36687631	7.19809E-16	1.87095E-15	4.9019E-13
1095	AT1	ADRB2	0.346020677	0.791666667	0.616352201	1.05956E-15	2.70248E-15	7.21561E-13
1099	AT1	SCAI	0.452292805	0.902777778	0.813417191	1.2059E-15	3.03033E-15	8.21219E-13
1121	AT1	PLEKHJ1	0.319490101	0.805555556	0.664570231	3.47829E-15	8.08434E-15	2.36871E-12
1123	AT1	ENSG00000255330	0.351381975	0.708333333	0.482180294	4.52102E-15	1.04367E-14	3.07882E-12
1124	AT1	TCEAL9	0.407706258	0.888888889	0.794549266	4.63202E-15	1.06568E-14	3.15441E-12
1131	AT1	ENSG00000237813	0.415353008	0.736111111	0.5639413	1.13086E-14	2.54164E-14	7.70116E-12
1134	AT1	FLRT3	0.346289161	0.791666667	0.656184486	1.5375E-14	3.41814E-14	1.04704E-11
1135	AT1	AKAP7	0.397256615	0.805555556	0.672955975	1.54092E-14	3.41814E-14	1.04937E-11
1138	AT1	ENSG00000282034	0.403318922	0.847222222	0.714884696	2.3624E-14	5.18967E-14	1.6088E-11
1143	AT1	NEDD8-MDP1	0.407302144	0.916666667	0.870020964	2.86497E-14	6.19379E-14	1.95105E-11
1144	AT1	SULT1A1	0.34205479	0.819444444	0.677148847	2.89818E-14	6.24576E-14	1.97366E-11
1147	AT1	RAB4B-EGLN2	0.368128258	0.902777778	0.863731656	3.46355E-14	7.39398E-14	2.35868E-11
1150	AT1	ARHGAP44	0.438629765	0.930555556	0.863731656	4.11007E-14	8.69241E-14	2.79896E-11
1158	AT1	CNTN6	0.425678787	0.736111111	0.536687631	5.8423E-14	1.20564E-13	3.97861E-11
1160	AT1	RHOBTB2	0.300162753	0.763888889	0.572327044	7.06381E-14	1.44893E-13	4.81046E-11
1162	AT1	PTPRF	0.38093788	0.888888889	0.84067086	9.26373E-14	1.8888E-13	6.3086E-11
1165	AT1	RRAS	0.327749172	0.736111111	0.576519916	1.1151E-13	2.25336E-13	7.59383E-11
1174	AT1	ENSG00000271758	0.538428823	0.777777778	0.637316562	1.68083E-13	3.30823E-13	1.14465E-10
1179	AT1	C1orf116	0.370367511	0.763888889	0.637316562	2.56456E-13	4.97568E-13	1.74646E-10
1180	AT1	WTIP	0.317562414	0.777777778	0.672955975	2.84993E-13	5.51364E-13	1.9408E-10
1182	AT1	FAM129B	0.467725721	0.944444444	0.855345912	3.76752E-13	7.2477E-13	2.56568E-10
1183	AT1	CAT	0.393977094	0.791666667	0.72327044	3.83137E-13	7.34975E-13	2.60916E-10
1199	AT1	GOLGA8B	0.371759436	0.861111111	0.794549266	7.62807E-13	1.40019E-12	5.19471E-10
1210	AT1	RASSF7	0.31933097	0.791666667	0.714884696	1.24195E-12	2.21405E-12	8.45769E-10
1211	AT1	AK1	0.450531275	0.875	0.790356394	1.25089E-12	2.22417E-12	8.51856E-10
1212	AT1	LAMA5	0.366603125	0.805555556	0.744234801	1.2726E-12	2.25687E-12	8.66639E-10
1225	AT1	OTUD7B	0.342390918	0.819444444	0.807127883	2.12117E-12	3.63859E-12	1.44452E-09
1235	AT1	CYP4Z1	0.348053915	0.819444444	0.721174004	3.80817E-12	6.3719E-12	2.59336E-09
1251	AT1	ENSG00000262730	0.331475018	0.861111111	0.813417191	7.36409E-12	1.18557E-11	5.01495E-09
1263	AT1	ENSG00000275757	0.509485855	0.847222222	0.733752621	1.26048E-11	1.9733E-11	8.58386E-09
1264	AT1	PARVA	0.323567868	0.847222222	0.832285115	1.28778E-11	2.01142E-11	8.76978E-09
1269	AT1	ENSG00000269590	0.303465976	0.916666667	0.846960168	1.67427E-11	2.58544E-11	1.14018E-08
1270	AT1	SON	0.338550055	0.944444444	0.932914046	1.75312E-11	2.70107E-11	1.19387E-08
1278	AT1	GPR39	0.388277756	0.847222222	0.752620545	3.42273E-11	5.17973E-11	2.33088E-08
1279	AT1	SYNPO	0.300565642	0.75	0.631027254	3.43408E-11	5.18386E-11	2.33861E-08
1280	AT1	ICAM1	0.309214046	0.722222222	0.589098532	3.44068E-11	5.18386E-11	2.3431E-08
1285	AT1	CDKL5	0.334274438	0.833333333	0.773584906	4.69836E-11	7.00128E-11	3.19958E-08
1289	AT1	SAR1A	0.334522471	0.888888889	0.821802935	6.01613E-11	8.88717E-11	4.09698E-08
1304	AT1	GNG5	0.35218319	0.888888889	0.886792453	1.38022E-10	1.97464E-10	9.3993E-08
1310	AT1	SERINC1	0.302004276	0.888888889	0.849056604	2.06637E-10	2.91855E-10	1.4072E-07
1315	AT1	MYO9A	0.320979143	0.902777778	0.897274633	2.94574E-10	4.11919E-10	2.00605E-07
1327	AT1	EIF4G2	0.333873588	0.916666667	0.895178197	5.82311E-10	7.94698E-10	3.96554E-07
1349	AT1	C2orf68	0.363656696	0.861111111	0.863731656	2.01915E-09	2.63924E-09	1.37504E-06
1353	AT1	PET100	0.328892624	0.916666667	0.890985325	2.41033E-09	3.12654E-09	1.64143E-06
1359	AT1	PEG10	0.317124926	0.736111111	0.607966457	2.89302E-09	3.71025E-09	1.97014E-06
1373	AT1	ATP5ME	0.321762363	0.916666667	0.880503145	5.19541E-09	6.49188E-09	3.53808E-06
1510	Ciliated	ENSG00000275676	0.364139321	0.960526316	0.080338266	3.1171E-81	4.35147E-78	4.35147E-78
1511	Ciliated	KCNE1B	0.305273651	0.960526316	0.097251586	2.05347E-76	1.43332E-73	2.86664E-73
1512	Ciliated	TCTEX1D4	0.374057721	0.947368421	0.093023256	3.91178E-76	1.82028E-73	5.46084E-73
1513	Ciliated	ANKRD66	0.309546234	0.960526316	0.099365751	1.64831E-75	5.75262E-73	2.30105E-72
1514	Ciliated	ENSG00000277350	0.312569339	0.947368421	0.097251586	1.01673E-74	2.83871E-72	1.41935E-71
1515	Ciliated	DYDC2	0.552983885	0.973684211	0.124735729	9.44963E-73	2.19861E-70	1.31917E-69
1516	Ciliated	C22orf15	0.45884117	0.960526316	0.11627907	5.08485E-72	1.01406E-69	7.09845E-69
1517	Ciliated	LRRC10B	0.348105296	0.921052632	0.095137421	6.79311E-72	1.1854E-69	9.48318E-69
1518	Ciliated	TCTEX1D1	0.671767831	0.973684211	0.131078224	1.16093E-71	1.80074E-69	1.62066E-68
1519	Ciliated	ENSG00000224038	0.319334601	0.960526316	0.124735729	6.27039E-71	8.75347E-69	8.75347E-68
1520	Ciliated	LINC01765	0.49579598	0.947368421	0.1205074	1.04937E-69	1.33175E-67	1.46492E-66
1521	Ciliated	FAM166B	0.532762174	0.973684211	0.143763214	2.36723E-69	2.75388E-67	3.30466E-66
1522	Ciliated	CFAP57	0.327320645	0.947368421	0.124735729	3.0972E-69	3.32592E-67	4.32369E-66
1523	Ciliated	ENSG00000226644	0.522110228	0.973684211	0.147991543	4.83689E-68	4.82307E-66	6.7523E-65
1524	Ciliated	ENSG00000267110	0.37696897	0.960526316	0.141649049	5.71812E-68	5.16591E-66	7.98249E-65
1525	Ciliated	C1orf158	0.331985085	0.947368421	0.126849894	5.92081E-68	5.16591E-66	8.26545E-65
1526	Ciliated	TSPAN19	1.225061026	0.986842105	0.164904863	9.61825E-68	7.89828E-66	1.34271E-64
1527	Ciliated	LRRC74B	0.305816228	0.960526316	0.141649049	1.06472E-67	8.25746E-66	1.48634E-64
1528	Ciliated	LDLRAD1	0.780796838	0.986842105	0.167019027	3.32895E-67	2.4459E-65	4.64722E-64
1529	Ciliated	C11orf97	0.538799689	0.973684211	0.156448203	3.60013E-67	2.51289E-65	5.02578E-64
1530	Ciliated	PIP	0.430717098	0.960526316	0.143763214	1.99968E-66	1.32931E-64	2.79155E-63
1531	Ciliated	GPR162	0.354155764	0.960526316	0.147991543	2.56214E-66	1.6258E-64	3.57675E-63
1532	Ciliated	ENSG00000231057	0.556621894	0.960526316	0.150105708	3.38874E-66	2.05682E-64	4.73068E-63
1533	Ciliated	CFAP73	0.870104155	0.986842105	0.179704017	1.73698E-65	1.01034E-63	2.42482E-62
1534	Ciliated	ENSG00000231621	0.845601657	0.973684211	0.171247357	3.02947E-65	1.69166E-63	4.22914E-62
1535	Ciliated	ENSG00000276422	0.526394741	0.947368421	0.147991543	1.57936E-64	8.47995E-63	2.20479E-61
1536	Ciliated	FAM216B	0.743087987	0.960526316	0.162790698	1.8044E-64	9.3294E-63	2.51894E-61
1537	Ciliated	ENSG00000268566	0.316544472	0.855263158	0.084566596	2.29581E-64	1.14463E-62	3.20495E-61
1538	Ciliated	ENSG00000238272	0.324363157	0.973684211	0.169133192	4.07218E-64	1.96026E-62	5.68476E-61
1539	Ciliated	C11orf88	0.90822891	0.986842105	0.196617336	9.09717E-64	4.23322E-62	1.26997E-60
1540	Ciliated	SPAG8	0.564902886	0.973684211	0.179704017	1.2945E-63	5.82943E-62	1.80712E-60
1541	Ciliated	TTC34	0.452116441	0.973684211	0.179704017	1.91994E-63	8.37573E-62	2.68023E-60
1542	Ciliated	STOML3	0.423108017	0.960526316	0.173361522	2.61608E-63	1.10668E-61	3.65204E-60
1543	Ciliated	TMEM190	1.089687064	0.986842105	0.198731501	6.08435E-63	2.49816E-61	8.49376E-60
1544	Ciliated	MDH1B	0.374506516	0.973684211	0.183932347	8.56872E-63	3.41769E-61	1.19619E-59
1545	Ciliated	CDHR4	0.972702997	0.986842105	0.202959831	8.82644E-63	3.4227E-61	1.23217E-59
1546	Ciliated	WDR38	0.630043829	0.947368421	0.162790698	1.0506E-62	3.96389E-61	1.46664E-59
1547	Ciliated	ENSG00000256029	0.411898766	0.973684211	0.179704017	1.41198E-62	5.18716E-61	1.97112E-59
1548	Ciliated	ENSG00000251438	0.417655764	0.947368421	0.162790698	2.15107E-62	7.69974E-61	3.0029E-59
1549	Ciliated	RIIAD1	0.526862455	0.973684211	0.194503171	2.94314E-62	1.02716E-60	4.10863E-59
1550	Ciliated	KIF19	0.370044996	0.986842105	0.177589852	4.37267E-62	1.48884E-60	6.10425E-59
1551	Ciliated	LRRC46	0.791002105	0.973684211	0.194503171	4.53433E-62	1.50712E-60	6.32992E-59
1552	Ciliated	DRC7	0.436115935	0.973684211	0.190274841	7.18145E-62	2.29516E-60	1.00253E-58
1553	Ciliated	TUBA4B	0.562685736	0.960526316	0.183932347	7.23404E-62	2.29516E-60	1.00987E-58
1554	Ciliated	C6orf118	0.737666645	0.960526316	0.188160677	4.38524E-61	1.3604E-59	6.12179E-58
1555	Ciliated	WDR86-AS1	0.55786818	0.947368421	0.173361522	1.66934E-60	5.06608E-59	2.3304E-57
