Transcript_stable_ID	Transcript_type	Pig190723_PCLS_200304_1_trans_rcount.tr	Pig190723_PCLS_200304_2_trans_rcount.tr	Pig190723_PCLS_200304_3_trans_rcount.tr	Pig190723_PCLS_200304_4_trans_rcount.tr
ENSSSCT00000059607	protein_coding	2571.0	2010.0	2697.0	2030.0
ENSSSCT00000042353	protein_coding	2583.0	2017.0	2718.0	2041.0
ENSSSCT00000055101	protein_coding	1567.0	1151.0	1528.0	1199.0
ENSSSCT00000031199	protein_coding	1534.0	1118.0	1485.0	1169.0
ENSSSCT00000032122	protein_coding	1357.0	1114.0	1236.0	975.0
ENSSSCT00000037739	protein_coding	5937.0	4702.0	3965.0	4000.0
ENSSSCT00000039620	protein_coding	1557.0	1291.0	1374.0	1107.0
ENSSSCT00000009650	protein_coding	1461.0	1286.0	1253.0	1360.0
ENSSSCT00000044703	protein_coding	161.0	96.0	59.0	73.0
ENSSSCT00000072953	protein_coding	166.0	104.0	62.0	76.0
ENSSSCT00000018081	protein_coding	178.0	115.0	68.0	82.0
ENSSSCT00000008043	protein_coding	33.0	16.0	42.0	43.0
ENSSSCT00000089532	protein_coding	33.0	16.0	41.0	43.0
ENSSSCT00000001878	protein_coding	38.0	17.0	111.0	46.0
ENSSSCT00000001877	protein_coding	38.0	16.0	110.0	44.0
ENSSSCT00000083458	protein_coding	448.0	291.0	511.0	433.0
ENSSSCT00000008279	protein_coding	67.0	42.0	140.0	126.0
ENSSSCT00000075620	protein_coding	51.0	31.0	98.0	92.0
ENSSSCT00000053183	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000080244	protein_coding	3.0	0.0	0.0	0.0
ENSSSCT00000076672	protein_coding	480.0	323.0	567.0	479.0
ENSSSCT00000013427	protein_coding	373.0	244.0	402.0	349.0
ENSSSCT00000036027	protein_coding	412.0	247.0	430.0	371.0
ENSSSCT00000090754	protein_coding	212.0	93.0	232.0	238.0
ENSSSCT00000033950	protein_coding	565.0	382.0	645.0	570.0
ENSSSCT00000066766	protein_coding	543.0	366.0	633.0	564.0
ENSSSCT00000079241	protein_coding	68.0	38.0	82.0	58.0
ENSSSCT00000010109	protein_coding	6576.0	5120.0	6234.0	6069.0
ENSSSCT00000089278	protein_coding	389.0	279.0	359.0	363.0
ENSSSCT00000047610	protein_coding	1591.0	1372.0	1220.0	1013.0
ENSSSCT00000038218	protein_coding	1591.0	1369.0	1220.0	1010.0
ENSSSCT00000047525	protein_coding	1556.0	1347.0	1214.0	1001.0
ENSSSCT00000051125	protein_coding	330.0	246.0	95.0	154.0
ENSSSCT00000005970	protein_coding	1778.0	1574.0	1375.0	1135.0
ENSSSCT00000044406	protein_coding	925.0	611.0	457.0	440.0
ENSSSCT00000052340	protein_coding	248.0	177.0	72.0	108.0
ENSSSCT00000005969	protein_coding	310.0	234.0	93.0	144.0
ENSSSCT00000065549	protein_coding	3414.0	2602.0	3636.0	3090.0
ENSSSCT00000040130	protein_coding	3373.0	2570.0	3596.0	3042.0
ENSSSCT00000010758	protein_coding	3409.0	2602.0	3637.0	3085.0
ENSSSCT00000016528	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000071393	protein_coding	4754.0	5379.0	6862.0	4632.0
ENSSSCT00000035287	protein_coding	4923.0	5549.0	7136.0	4845.0
ENSSSCT00000084830	protein_coding	4895.0	5521.0	7105.0	4825.0
ENSSSCT00000006580	protein_coding	4861.0	5479.0	7043.0	4783.0
ENSSSCT00000052815	protein_coding	4878.0	5515.0	7027.0	4775.0
ENSSSCT00000088084	protein_coding	4756.0	5336.0	6824.0	4602.0
ENSSSCT00000090641	protein_coding	2344.0	2459.0	3700.0	2307.0
ENSSSCT00000066807	protein_coding	3734.0	4188.0	5118.0	3647.0
ENSSSCT00000077742	protein_coding	1074.0	1223.0	1211.0	1001.0
ENSSSCT00000004062	pseudogene	1.0	0.0	1.0	0.0
ENSSSCT00000041916	protein_coding	1056.0	824.0	1031.0	1018.0
ENSSSCT00000057907	protein_coding	943.0	761.0	932.0	923.0
ENSSSCT00000005423	protein_coding	959.0	750.0	932.0	927.0
ENSSSCT00000058237	protein_coding	1048.0	795.0	996.0	1004.0
ENSSSCT00000062940	protein_coding	997.0	734.0	960.0	944.0
ENSSSCT00000002553	protein_coding	706.0	520.0	722.0	829.0
ENSSSCT00000015367	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000017005	protein_coding	4205.0	3207.0	4373.0	4443.0
ENSSSCT00000073541	protein_coding	3880.0	2660.0	5785.0	5419.0
ENSSSCT00000081159	protein_coding	2869.0	1940.0	4165.0	3922.0
ENSSSCT00000029520	protein_coding	3827.0	2633.0	5708.0	5339.0
ENSSSCT00000084165	protein_coding	2797.0	1891.0	4061.0	3803.0
ENSSSCT00000060424	protein_coding	560.0	340.0	627.0	636.0
ENSSSCT00000066026	protein_coding	547.0	333.0	612.0	616.0
ENSSSCT00000080606	protein_coding	555.0	335.0	612.0	620.0
ENSSSCT00000014386	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000079339	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000058480	protein_coding	127.0	102.0	89.0	100.0
ENSSSCT00000009193	protein_coding	127.0	102.0	87.0	100.0
ENSSSCT00000050611	protein_coding	128.0	102.0	89.0	99.0
ENSSSCT00000078063	protein_coding	119.0	94.0	82.0	94.0
ENSSSCT00000045506	protein_coding	26.0	13.0	18.0	37.0
ENSSSCT00000091117	protein_coding	18.0	5.0	13.0	31.0
ENSSSCT00000083436	protein_coding	26.0	14.0	15.0	35.0
ENSSSCT00000037020	protein_coding	3746.0	2865.0	4240.0	4212.0
ENSSSCT00000044380	protein_coding	2597.0	1806.0	2884.0	3069.0
ENSSSCT00000060236	protein_coding	1464.0	1006.0	1530.0	1571.0
ENSSSCT00000015169	protein_coding	2585.0	1810.0	2974.0	3176.0
ENSSSCT00000040309	protein_coding	78.0	51.0	98.0	104.0
ENSSSCT00000015168	protein_coding	77.0	50.0	82.0	101.0
ENSSSCT00000053068	protein_coding	163.0	132.0	281.0	275.0
ENSSSCT00000013849	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000032542	protein_coding	6.0	6.0	10.0	4.0
ENSSSCT00000068094	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000044545	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000075808	pseudogene	1286.0	1086.0	1104.0	1167.0
ENSSSCT00000024108	protein_coding	382.0	358.0	308.0	347.0
ENSSSCT00000042241	protein_coding	1149.0	607.0	1604.0	982.0
ENSSSCT00000016618	protein_coding	871.0	497.0	1305.0	780.0
ENSSSCT00000045196	protein_coding	1453.0	1278.0	1418.0	1279.0
ENSSSCT00000072243	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000078097	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000051607	protein_coding	1.0	0.0	0.0	0.0
ENSSSCT00000003424	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000018850	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000011262	protein_coding	6867.0	5982.0	7523.0	5951.0
ENSSSCT00000051380	protein_coding	6874.0	5992.0	7530.0	5955.0
ENSSSCT00000053226	protein_coding	6879.0	6000.0	7540.0	5959.0
ENSSSCT00000067128	protein_coding	6855.0	5983.0	7511.0	5939.0
ENSSSCT00000071598	protein_coding	6806.0	5956.0	7458.0	5903.0
ENSSSCT00000004056	protein_coding	10441.0	8626.0	11044.0	10789.0
ENSSSCT00000036802	protein_coding	10504.0	8670.0	11155.0	10895.0
ENSSSCT00000054260	protein_coding	4292.0	3538.0	4147.0	3591.0
ENSSSCT00000025191	protein_coding	4048.0	3357.0	3923.0	3405.0
ENSSSCT00000087126	protein_coding	4278.0	3527.0	4135.0	3569.0
ENSSSCT00000055429	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000069821	protein_coding	1355.0	1191.0	2830.0	1422.0
ENSSSCT00000036727	protein_coding	2232.0	1881.0	4920.0	2167.0
ENSSSCT00000069190	protein_coding	2421.0	2076.0	5307.0	2371.0
ENSSSCT00000007254	protein_coding	2406.0	2040.0	5288.0	2351.0
ENSSSCT00000002555	protein_coding	2563.0	2158.0	2738.0	2645.0
ENSSSCT00000067988	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000000063	pseudogene	0.0	0.0	0.0	0.0
ENSSSCT00000040049	protein_coding	17.0	23.0	30.0	29.0
ENSSSCT00000058384	protein_coding	17.0	23.0	30.0	29.0
ENSSSCT00000056838	protein_coding	18.0	21.0	24.0	12.0
ENSSSCT00000049079	protein_coding	16.0	6.0	21.0	2.0
ENSSSCT00000025751	protein_coding	13.0	23.0	29.0	27.0
ENSSSCT00000042004	protein_coding	18.0	2.0	7.0	6.0
ENSSSCT00000057270	protein_coding	15.0	23.0	29.0	29.0
ENSSSCT00000055874	protein_coding	15.0	23.0	29.0	29.0
ENSSSCT00000059945	protein_coding	18.0	2.0	7.0	6.0
ENSSSCT00000064089	protein_coding	18.0	2.0	7.0	6.0
ENSSSCT00000013797	protein_coding	10.0	19.0	22.0	21.0
ENSSSCT00000047986	protein_coding	437.0	302.0	528.0	491.0
ENSSSCT00000001884	protein_coding	401.0	278.0	476.0	477.0
ENSSSCT00000001869	protein_coding	513.0	355.0	601.0	547.0
ENSSSCT00000056753	protein_coding	359.0	260.0	446.0	444.0
ENSSSCT00000075155	protein_coding	5049.0	4263.0	4151.0	4036.0
ENSSSCT00000009651	protein_coding	4981.0	4212.0	4071.0	3966.0
ENSSSCT00000048245	protein_coding	2910.0	2633.0	2710.0	2543.0
ENSSSCT00000024228	protein_coding	94.0	49.0	160.0	101.0
ENSSSCT00000022446	protein_coding	143.0	101.0	149.0	162.0
ENSSSCT00000070406	protein_coding	139.0	100.0	162.0	164.0
ENSSSCT00000042653	protein_coding	383.0	256.0	381.0	283.0
ENSSSCT00000064571	protein_coding	38155.0	32242.0	36624.0	33556.0
ENSSSCT00000015371	protein_coding	32167.0	28048.0	32070.0	29054.0
ENSSSCT00000037298	protein_coding	690.0	673.0	696.0	699.0
ENSSSCT00000063112	protein_coding	792.0	736.0	860.0	835.0
ENSSSCT00000090700	protein_coding	756.0	702.0	806.0	795.0
ENSSSCT00000085193	protein_coding	766.0	712.0	833.0	810.0
ENSSSCT00000084098	protein_coding	703.0	691.0	701.0	707.0
ENSSSCT00000008044	protein_coding	675.0	654.0	675.0	661.0
ENSSSCT00000073624	protein_coding	784.0	723.0	843.0	824.0
ENSSSCT00000084856	protein_coding	8563.0	7412.0	6954.0	5826.0
ENSSSCT00000077439	protein_coding	8303.0	7235.0	6757.0	5646.0
ENSSSCT00000000578	protein_coding	7630.0	6777.0	6445.0	5328.0
ENSSSCT00000078224	protein_coding	7110.0	6333.0	5954.0	4972.0
ENSSSCT00000059169	protein_coding	5857.0	5153.0	4997.0	4050.0
ENSSSCT00000066643	protein_coding	7686.0	6771.0	6275.0	5185.0
ENSSSCT00000090906	protein_coding	8255.0	7144.0	6655.0	5604.0
ENSSSCT00000050800	protein_coding	1642.0	1349.0	2345.0	1544.0
ENSSSCT00000060452	protein_coding	2250.0	1633.0	2924.0	2745.0
ENSSSCT00000074254	protein_coding	2107.0	1542.0	2739.0	2560.0
ENSSSCT00000068747	protein_coding	901.0	571.0	1216.0	1219.0
ENSSSCT00000090442	protein_coding	549.0	345.0	646.0	573.0
ENSSSCT00000090576	protein_coding	872.0	528.0	1007.0	900.0
ENSSSCT00000077133	protein_coding	1290.0	808.0	1400.0	1360.0
ENSSSCT00000090773	protein_coding	950.0	584.0	1054.0	966.0
ENSSSCT00000050277	protein_coding	112.0	91.0	73.0	89.0
ENSSSCT00000079910	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000026613	protein_coding	799.0	669.0	655.0	516.0
ENSSSCT00000091387	protein_coding	729.0	595.0	602.0	471.0
ENSSSCT00000070727	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000008281	protein_coding	2.0	0.0	0.0	0.0
ENSSSCT00000065469	protein_coding	194.0	119.0	77.0	92.0
ENSSSCT00000081870	protein_coding	204.0	185.0	107.0	139.0
ENSSSCT00000070999	protein_coding	80.0	94.0	42.0	61.0
ENSSSCT00000054622	protein_coding	67.0	76.0	38.0	57.0
ENSSSCT00000018083	protein_coding	82.0	90.0	71.0	79.0
ENSSSCT00000088903	protein_coding	74.0	90.0	42.0	60.0
ENSSSCT00000002556	protein_coding	5531.0	4741.0	5586.0	5301.0
ENSSSCT00000068920	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000058076	protein_coding	14.0	3.0	0.0	8.0
ENSSSCT00000051434	protein_coding	14.0	3.0	0.0	8.0
ENSSSCT00000055987	protein_coding	14.0	4.0	0.0	8.0
ENSSSCT00000060709	protein_coding	14.0	3.0	0.0	8.0
ENSSSCT00000046996	protein_coding	14.0	3.0	0.0	8.0
ENSSSCT00000013163	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000079854	protein_coding	2065.0	2008.0	2154.0	1907.0
ENSSSCT00000075080	protein_coding	1974.0	1927.0	2067.0	1785.0
ENSSSCT00000053147	protein_coding	1899.0	1846.0	1960.0	1711.0
ENSSSCT00000000064	protein_coding	11450.0	9711.0	12086.0	11193.0
ENSSSCT00000038079	protein_coding	12130.0	10133.0	12841.0	11967.0
ENSSSCT00000023171	protein_coding	11474.0	9714.0	12098.0	11214.0
ENSSSCT00000051598	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000040379	protein_coding	1690.0	1314.0	1956.0	1525.0
ENSSSCT00000014382	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000019329	protein_coding	137.0	99.0	151.0	142.0
ENSSSCT00000012734	protein_coding	0.0	2.0	0.0	0.0
ENSSSCT00000043945	protein_coding	0.0	2.0	0.0	0.0
ENSSSCT00000081254	protein_coding	1106.0	1054.0	1047.0	708.0
ENSSSCT00000051786	protein_coding	1198.0	1132.0	1114.0	768.0
ENSSSCT00000079162	protein_coding	1104.0	1055.0	1046.0	728.0
ENSSSCT00000058827	protein_coding	557.0	542.0	451.0	347.0
ENSSSCT00000010110	protein_coding	463.0	465.0	383.0	307.0
ENSSSCT00000069837	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000072027	protein_coding	85.0	45.0	43.0	81.0
ENSSSCT00000079360	protein_coding	85.0	45.0	43.0	79.0
ENSSSCT00000065530	protein_coding	111.0	65.0	71.0	98.0
ENSSSCT00000008702	protein_coding	109.0	65.0	71.0	98.0
ENSSSCT00000066909	protein_coding	40.0	49.0	54.0	59.0
ENSSSCT00000041567	protein_coding	5.0	7.0	6.0	6.0
ENSSSCT00000009653	protein_coding	31.0	18.0	26.0	32.0
ENSSSCT00000015370	protein_coding	1240.0	1180.0	1181.0	1048.0
ENSSSCT00000084326	protein_coding	1.0	2.0	0.0	0.0
ENSSSCT00000044903	protein_coding	2337.0	1783.0	1800.0	1505.0
ENSSSCT00000077633	protein_coding	1912.0	1568.0	1589.0	1262.0
ENSSSCT00000069523	protein_coding	2143.0	1676.0	1657.0	1363.0
ENSSSCT00000042783	protein_coding	73.0	39.0	72.0	69.0
ENSSSCT00000085913	protein_coding	86.0	42.0	82.0	91.0
ENSSSCT00000002557	protein_coding	3272.0	2885.0	3105.0	2713.0
ENSSSCT00000055132	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000016619	protein_coding	263.0	131.0	367.0	217.0
ENSSSCT00000005653	protein_coding	2.0	0.0	0.0	3.0
ENSSSCT00000012735	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000014385	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000009654	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000085653	protein_coding	1024.0	669.0	968.0	1068.0
ENSSSCT00000017007	protein_coding	459.0	265.0	431.0	511.0
ENSSSCT00000076718	protein_coding	301.0	196.0	315.0	360.0
ENSSSCT00000063537	protein_coding	1016.0	651.0	973.0	1057.0
ENSSSCT00000068670	protein_coding	441.0	242.0	407.0	479.0
ENSSSCT00000089957	protein_coding	1063.0	686.0	990.0	1101.0
ENSSSCT00000074510	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000086140	pseudogene	7.0	14.0	11.0	6.0
ENSSSCT00000036800	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000017496	protein_coding	4426.0	3888.0	3757.0	3165.0
ENSSSCT00000069173	protein_coding	4434.0	3942.0	3719.0	3177.0
ENSSSCT00000076930	protein_coding	4299.0	3850.0	3642.0	3111.0
ENSSSCT00000081202	pseudogene	86.0	56.0	16.0	35.0
ENSSSCT00000018840	protein_coding	0.0	15.0	9.0	10.0
ENSSSCT00000089949	protein_coding	0.0	15.0	9.0	9.0
ENSSSCT00000026569	protein_coding	1257.0	786.0	1364.0	1318.0
ENSSSCT00000076752	protein_coding	23.0	11.0	13.0	26.0
ENSSSCT00000069247	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000008284	protein_coding	2.0	0.0	2.0	0.0
ENSSSCT00000061870	protein_coding	706.0	589.0	805.0	347.0
ENSSSCT00000080017	protein_coding	700.0	583.0	793.0	346.0
ENSSSCT00000009194	protein_coding	750.0	634.0	891.0	365.0
ENSSSCT00000039493	protein_coding	666.0	530.0	750.0	321.0
ENSSSCT00000070024	pseudogene	0.0	0.0	0.0	0.0
ENSSSCT00000015368	protein_coding	5840.0	4760.0	4570.0	4571.0
ENSSSCT00000022811	protein_coding	2.0	6.0	10.0	14.0
ENSSSCT00000075707	pseudogene	0.0	0.0	0.0	0.0
ENSSSCT00000011646	protein_coding	2.0	0.0	2.0	3.0
ENSSSCT00000051840	protein_coding	6110.0	5288.0	4391.0	4097.0
ENSSSCT00000045239	protein_coding	6110.0	5291.0	4392.0	4097.0
ENSSSCT00000051993	protein_coding	6865.0	5971.0	4672.0	4503.0
ENSSSCT00000057422	protein_coding	6858.0	5965.0	4671.0	4501.0
ENSSSCT00000058953	protein_coding	6112.0	5287.0	4390.0	4097.0
ENSSSCT00000048328	protein_coding	6108.0	5290.0	4392.0	4097.0
ENSSSCT00000036852	protein_coding	6101.0	5281.0	4390.0	4095.0
ENSSSCT00000012303	protein_coding	6826.0	5928.0	4629.0	4474.0
ENSSSCT00000050795	protein_coding	6826.0	5928.0	4629.0	4474.0
ENSSSCT00000025077	protein_coding	6599.0	5692.0	4539.0	4320.0
ENSSSCT00000001870	protein_coding	114.0	61.0	143.0	118.0
ENSSSCT00000072016	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000041089	protein_coding	20.0	20.0	61.0	54.0
ENSSSCT00000008286	protein_coding	1481.0	1067.0	1853.0	1845.0
ENSSSCT00000018856	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000059938	protein_coding	2371.0	1556.0	3094.0	2861.0
ENSSSCT00000003423	protein_coding	2359.0	1554.0	3069.0	2850.0
ENSSSCT00000070878	protein_coding	2352.0	1550.0	3053.0	2842.0
ENSSSCT00000081721	protein_coding	2299.0	1494.0	3000.0	2788.0
ENSSSCT00000037368	protein_coding	2546.0	1611.0	2824.0	2895.0
ENSSSCT00000064909	protein_coding	2602.0	1646.0	2923.0	2998.0
ENSSSCT00000064931	protein_coding	2557.0	1646.0	2859.0	2949.0
ENSSSCT00000060550	protein_coding	1524.0	903.0	1791.0	1856.0
ENSSSCT00000027724	protein_coding	2377.0	1509.0	2629.0	2726.0
ENSSSCT00000090988	protein_coding	9.0	2.0	10.0	2.0
ENSSSCT00000082734	protein_coding	8.0	2.0	8.0	0.0
ENSSSCT00000011266	protein_coding	9.0	4.0	10.0	4.0
ENSSSCT00000043280	protein_coding	349.0	324.0	358.0	275.0
ENSSSCT00000050521	protein_coding	5037.0	4316.0	5415.0	4874.0
ENSSSCT00000019336	protein_coding	5599.0	4672.0	6023.0	5366.0
ENSSSCT00000049921	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000046726	protein_coding	412.0	245.0	523.0	461.0
ENSSSCT00000048853	protein_coding	1558.0	1162.0	1917.0	1650.0
ENSSSCT00000007255	protein_coding	1526.0	1151.0	1868.0	1621.0
ENSSSCT00000010161	protein_coding	26.0	7.0	23.0	14.0
ENSSSCT00000074717	protein_coding	24.0	7.0	22.0	10.0
ENSSSCT00000084343	pseudogene	15.0	14.0	4.0	9.0
ENSSSCT00000073423	protein_coding	0.0	0.0	4.0	0.0
ENSSSCT00000000065	protein_coding	2269.0	1511.0	2452.0	1784.0
ENSSSCT00000083276	protein_coding	2080.0	1375.0	2250.0	1620.0
ENSSSCT00000046450	protein_coding	2195.0	1448.0	2363.0	1716.0
ENSSSCT00000070289	protein_coding	2275.0	1505.0	2453.0	1795.0
ENSSSCT00000002558	protein_coding	9.0	6.0	17.0	10.0
ENSSSCT00000014387	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000071542	pseudogene	0.0	0.0	0.0	0.0
ENSSSCT00000075985	pseudogene	2.0	2.0	0.0	0.0
ENSSSCT00000046423	protein_coding	696.0	570.0	655.0	609.0
ENSSSCT00000061044	protein_coding	767.0	650.0	741.0	665.0
ENSSSCT00000086872	protein_coding	461.0	370.0	424.0	425.0
ENSSSCT00000044803	protein_coding	556.0	453.0	536.0	503.0
ENSSSCT00000024377	protein_coding	17099.0	15550.0	17400.0	15082.0
ENSSSCT00000004058	protein_coding	50.0	26.0	34.0	26.0
ENSSSCT00000074484	protein_coding	50.0	26.0	34.0	26.0
ENSSSCT00000067050	pseudogene	0.0	0.0	0.0	0.0
ENSSSCT00000039639	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000015609	protein_coding	21.0	12.0	53.0	31.0
ENSSSCT00000071336	protein_coding	825.0	675.0	1051.0	984.0
ENSSSCT00000016621	protein_coding	1979.0	1535.0	2044.0	2369.0
ENSSSCT00000037716	protein_coding	2067.0	1629.0	2242.0	2470.0
ENSSSCT00000085678	protein_coding	862.0	671.0	975.0	1000.0
ENSSSCT00000061320	protein_coding	2375.0	1865.0	2376.0	2756.0
ENSSSCT00000045004	protein_coding	1078.0	871.0	1104.0	1314.0
ENSSSCT00000080628	protein_coding	2656.0	2362.0	2085.0	1878.0
ENSSSCT00000068673	protein_coding	475.0	381.0	419.0	339.0
ENSSSCT00000067400	protein_coding	3396.0	2839.0	2642.0	2326.0
ENSSSCT00000083310	protein_coding	3097.0	2556.0	2416.0	2124.0
ENSSSCT00000054098	protein_coding	3677.0	3084.0	2949.0	2524.0
ENSSSCT00000018470	protein_coding	2845.0	2504.0	2305.0	1972.0
ENSSSCT00000089569	protein_coding	1844.0	1661.0	1488.0	1323.0
ENSSSCT00000082088	protein_coding	1911.0	1658.0	1502.0	1339.0
ENSSSCT00000088217	protein_coding	1564.0	1350.0	1317.0	1135.0
ENSSSCT00000083922	protein_coding	1468.0	1244.0	1227.0	1067.0
ENSSSCT00000010761	protein_coding	1479.0	1299.0	1224.0	1058.0
ENSSSCT00000070865	protein_coding	1439.0	1227.0	1196.0	1074.0
ENSSSCT00000074655	protein_coding	1480.0	1315.0	1255.0	1011.0
ENSSSCT00000071689	protein_coding	1458.0	1253.0	1245.0	1035.0
ENSSSCT00000077878	protein_coding	716.0	682.0	594.0	469.0
ENSSSCT00000036365	protein_coding	1005.0	811.0	1029.0	701.0
ENSSSCT00000034436	protein_coding	1010.0	817.0	1039.0	703.0
ENSSSCT00000014388	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000076355	protein_coding	14.0	17.0	10.0	18.0
ENSSSCT00000029725	protein_coding	0.0	0.0	0.0	0.0
ENSSSCT00000048098	protein_coding	6.0	4.0	12.0	17.0
ENSSSCT00000038480	protein_coding	7.0	4.0	14.0	17.0
ENSSSCT00000081920	protein_coding	196.0	124.0	197.0	229.0
ENSSSCT00000051872	protein_coding	227.0	145.0	233.0	246.0
ENSSSCT00000027987	protein_coding	392.0	247.0	455.0	453.0
ENSSSCT00000053366	protein_coding	302.0	198.0	375.0	371.0
ENSSSCT00000066076	protein_coding	388.0	247.0	448.0	443.0
ENSSSCT00000068668	protein_coding	2.0	0.0	6.0	4.0
ENSSSCT00000010111	protein_coding	2.0	0.0	6.0	0.0
ENSSSCT00000065717	protein_coding	1662.0	1323.0	2340.0	1993.0
ENSSSCT00000071731	protein_coding	707.0	619.0	372.0	322.0
ENSSSCT00000068402	protein_coding	735.0	630.0	366.0	330.0
ENSSSCT00000058060	protein_coding	1019.0	818.0	531.0	502.0
