Gene_stable_ID	Gene_%_GC_content	Gene_type	NCBI_gene_ID	Gene_name	Pig190723_PCLS_200304_1_gene_rcount.gr	Pig190723_PCLS_200304_2_gene_rcount.gr	Pig190723_PCLS_200304_3_gene_rcount.gr	Pig190723_PCLS_200304_4_gene_rcount.gr
ENSSSCG00000018083	31.88	Mt_tRNA	---	---	113.0	68.0	31.0	29.0
ENSSSCG00000018084	39.6	protein_coding	808508	ND3	36548.0	32497.0	32725.0	25775.0
ENSSSCG00000018085	21.74	Mt_tRNA	---	---	8.0	10.0	8.0	2.0
ENSSSCG00000018086	37.37	protein_coding	808509	ND4L	31178.0	23405.0	20784.0	17631.0
ENSSSCG00000018087	39.91	protein_coding	808510	ND4	177900.0	151841.0	160530.0	121412.0
ENSSSCG00000018088	23.19	Mt_tRNA	---	---	17.0	8.0	2.0	7.0
ENSSSCG00000018089	35.59	Mt_tRNA	---	---	20.0	19.0	8.0	10.0
ENSSSCG00000018090	34.29	Mt_tRNA	---	---	82.0	62.0	22.0	25.0
ENSSSCG00000018091	38.55	protein_coding	808511	ND5	182867.0	150917.0	151110.0	116982.0
ENSSSCG00000018092	34.28	protein_coding	808512	ND6	10281.0	8905.0	4186.0	4982.0
ENSSSCG00000018093	34.78	Mt_tRNA	---	---	32.0	31.0	28.0	25.0
ENSSSCG00000018094	41.84	protein_coding	808513	CYTB	111121.0	93902.0	99842.0	83585.0
ENSSSCG00000018095	47.06	Mt_tRNA	---	---	347.0	262.0	299.0	247.0
ENSSSCG00000018096	43.75	Mt_tRNA	---	---	102.0	114.0	123.0	103.0
ENSSSCG00000033408	41.18	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000019519	40	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000036137	37.38	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000031544	38.32	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000024374	46.38	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000028766	55.71	misc_RNA	---	Metazoa_SRP	0.0	1.0	0.0	0.0
ENSSSCG00000024153	45.89	snRNA	---	U12	0.0	0.0	0.0	0.0
ENSSSCG00000043827	37.25	snRNA	---	U2	0.0	0.0	0.0	0.0
ENSSSCG00000035588	37.14	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000019137	43.52	snRNA	---	U6	2.0	0.0	0.0	0.0
ENSSSCG00000020141	36.49	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000046617	35.63	snRNA	---	U2	0.0	0.0	0.0	0.0
ENSSSCG00000020518	37.76	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000019007	42.52	snRNA	---	---	0.0	0.0	2.0	1.0
ENSSSCG00000024387	59.2	misc_RNA	---	Metazoa_SRP	0.0	0.0	0.0	0.0
ENSSSCG00000019993	36.11	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000018796	54.17	vaultRNA	---	Vault	0.0	0.0	0.0	0.0
ENSSSCG00000050798	28.09	snoRNA	---	U3	0.0	0.0	0.0	0.0
ENSSSCG00000020183	47.33	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000024834	44.95	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000019630	35.85	snRNA	---	U6	13.0	13.0	13.0	8.0
ENSSSCG00000018113	54.07	snoRNA	---	SNORA70	0.0	0.0	0.0	0.0
ENSSSCG00000048632	30.61	snRNA	---	U2	0.0	0.0	0.0	0.0
ENSSSCG00000037027	45.19	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000033714	39.25	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000038788	42.06	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000019323	39.26	snoRNA	---	SNORA13	62.0	52.0	20.0	48.0
ENSSSCG00000019627	41.9	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000028702	40.38	snRNA	---	U6	0.0	1.0	2.0	0.0
ENSSSCG00000024083	35.92	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000018959	35.78	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000023774	59.53	misc_RNA	---	Metazoa_SRP	0.0	0.0	0.0	0.0
ENSSSCG00000020497	27.88	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000034411	43.93	snRNA	---	U6	23.0	4.0	9.0	7.0
ENSSSCG00000026720	35.29	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000022062	25	snoRNA	---	SNORD72	28.0	18.0	12.0	14.0
ENSSSCG00000046501	38.04	snRNA	---	U2	0.0	0.0	0.0	0.0
ENSSSCG00000040806	49.09	snoRNA	---	SNORA70	0.0	0.0	0.0	0.0
ENSSSCG00000046862	45.63	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000036890	41.12	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000033205	62.72	misc_RNA	---	Metazoa_SRP	0.0	0.0	0.0	0.0
ENSSSCG00000024209	53.77	misc_RNA	---	Metazoa_SRP	0.0	0.0	0.0	0.0
ENSSSCG00000020189	35.64	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000034573	55.88	snoRNA	---	SNORA70	0.0	0.0	0.0	0.0
ENSSSCG00000040014	38.32	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000044554	46.6	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000020200	37.5	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000019498	37.86	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000019377	33.33	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000020046	39.42	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000034121	42.06	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000032627	40.95	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000026738	39.25	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000018423	39	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000019329	41.76	snRNA	---	U2	0.0	1.0	0.0	2.0
ENSSSCG00000018486	42.2	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000034381	42.99	snRNA	---	U6	0.0	1.0	0.0	0.0
ENSSSCG00000044779	51.67	IG_V_gene	---	---	15.0	15.0	13.0	5.0
ENSSSCG00000038204	56.64	IG_V_gene	---	---	80.0	60.0	97.0	81.0
ENSSSCG00000019958	43.93	snRNA	---	U6	0.0	1.0	0.0	0.0
ENSSSCG00000033349	34.69	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000020088	36.54	snRNA	---	U6	0.0	2.0	1.0	0.0
ENSSSCG00000035853	44.86	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000041182	66.44	snoRNA	---	SNORA59A	0.0	0.0	0.0	0.0
ENSSSCG00000032259	38.71	snRNA	---	U7	0.0	0.0	0.0	0.0
ENSSSCG00000035963	45.71	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000018447	40.38	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000020322	57.61	snoRNA	---	SNORA70	0.0	0.0	0.0	0.0
ENSSSCG00000028965	41.88	snRNA	---	U5	0.0	4.0	1.0	6.0
ENSSSCG00000020570	36.89	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000020390	38.24	snRNA	---	U6	0.0	1.0	0.0	0.0
ENSSSCG00000018925	35.92	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000042748	31.13	snRNA	---	U2	0.0	0.0	0.0	0.0
ENSSSCG00000018723	50.52	Y_RNA	---	Y_RNA	1.0	2.0	1.0	0.0
ENSSSCG00000038113	40.19	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000024138	37.76	snRNA	---	U6	0.0	2.0	1.0	1.0
ENSSSCG00000037167	41.35	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000039697	46.72	snRNA	---	U4	0.0	0.0	0.0	0.0
ENSSSCG00000037436	39.25	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000019589	45.83	snRNA	---	U1	0.0	3.0	0.0	0.0
ENSSSCG00000019381	37.74	snRNA	---	U6	24.0	8.0	5.0	8.0
ENSSSCG00000019565	54.68	snoRNA	---	SNORA70	0.0	0.0	0.0	0.0
ENSSSCG00000020611	40.2	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000031534	39.42	snRNA	---	U6	2.0	0.0	2.0	0.0
ENSSSCG00000018799	36.27	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000036269	48.39	snRNA	---	U7	0.0	0.0	0.0	0.0
ENSSSCG00000050301	51.49	snRNA	---	U2	0.0	0.0	0.0	0.0
ENSSSCG00000035143	40.57	snRNA	---	U6	0.0	0.0	1.0	3.0
ENSSSCG00000018997	40.19	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000020037	33.64	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000039150	42.99	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000020460	46.39	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000037434	37.38	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000018686	37.93	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000019721	42.45	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000037419	40.54	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000020398	34.45	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000019046	42.65	snoRNA	---	SNORD110	132.0	86.0	128.0	116.0
ENSSSCG00000040832	44.86	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000020575	35.35	snRNA	---	U6	1.0	2.0	0.0	0.0
ENSSSCG00000041676	29.41	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000029850	37.97	snoRNA	---	SNORD111B	0.0	0.0	0.0	0.0
ENSSSCG00000019599	54.2	snoRNA	---	---	207.0	153.0	146.0	176.0
ENSSSCG00000026461	38.46	snoRNA	---	SNORD111	4.0	2.0	0.0	0.0
ENSSSCG00000019936	46.23	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000018650	40.85	snoRNA	---	SNORD56	33.0	31.0	18.0	37.0
ENSSSCG00000031268	45.79	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000020323	38.38	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000018315	36.63	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000018196	43.06	snoRNA	---	SNORD57	113.0	92.0	84.0	106.0
ENSSSCG00000019028	48.05	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000028772	53.21	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000043174	45	snRNA	---	U2	0.0	0.0	0.0	0.0
ENSSSCG00000018372	56.98	snoRNA	---	SNORD86	406.0	344.0	492.0	578.0
ENSSSCG00000031454	43.93	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000029455	40.57	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000036354	53.5	protein_coding	100621571	FOXI3	4.0	0.0	2.0	0.0
ENSSSCG00000038369	42.06	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000018664	43.81	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000020928	44.7	snoRNA	---	SNORA70	0.0	0.0	0.0	0.0
ENSSSCG00000019351	41.75	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000032268	39.25	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000045807	29.6	snRNA	---	U2	0.0	0.0	0.0	0.0
ENSSSCG00000018553	40	snoRNA	---	---	19.0	30.0	12.0	34.0
ENSSSCG00000040094	34.58	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000033984	39.81	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000019948	44.86	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000033141	35.92	snoRNA	---	---	5.0	6.0	3.0	4.0
ENSSSCG00000034130	43.93	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000037943	39.25	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000029272	38.05	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000018775	34.11	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000039617	50	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000025487	35.24	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000018312	37.04	snRNA	---	U6	0.0	0.0	2.0	4.0
ENSSSCG00000019976	38.94	snRNA	---	U6	2.0	1.0	3.0	0.0
ENSSSCG00000034166	46.24	snoRNA	---	---	8.0	4.0	2.0	6.0
ENSSSCG00000032771	41.12	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000025771	36.45	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000026500	45.1	snRNA	---	U6	13.0	1.0	1.0	3.0
ENSSSCG00000029965	48.08	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000040082	42.99	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000019106	48.08	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000037749	44.68	snoRNA	---	---	44.0	39.0	22.0	21.0
ENSSSCG00000019195	37.14	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000018538	60.9	snoRNA	---	SNORA52	41.0	30.0	57.0	82.0
ENSSSCG00000020464	45.74	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000019524	39.81	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000034737	45.19	snRNA	---	U6	0.0	2.0	0.0	0.0
ENSSSCG00000019904	36.89	snRNA	---	U6	0.0	0.0	5.0	0.0
ENSSSCG00000032654	46.81	snoRNA	---	SNORD116	0.0	0.0	0.0	0.0
ENSSSCG00000031561	35.09	snRNA	---	U2	0.0	0.0	2.0	0.0
ENSSSCG00000035019	33.64	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000019583	43.52	snRNA	---	U6	1.0	2.0	0.0	0.0
ENSSSCG00000033429	46.81	snoRNA	---	SNORD116	0.0	0.0	0.0	0.0
ENSSSCG00000040302	44.86	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000040605	45.63	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000033121	39.13	snoRNA	---	SNORD38B	48.0	33.0	73.0	48.0
ENSSSCG00000033905	46.81	snoRNA	---	SNORD116	0.0	0.0	0.0	0.0
ENSSSCG00000034034	41.75	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000038775	39.22	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000035753	49.53	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000040268	46.81	snoRNA	---	SNORD116	0.0	0.0	0.0	0.0
ENSSSCG00000036315	47.66	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000038146	38.81	snoRNA	---	SNORD49B	125.0	89.0	123.0	118.0
ENSSSCG00000032021	47.14	snoRNA	---	SNORD38A	37.0	17.0	32.0	46.0
ENSSSCG00000039794	46.81	snoRNA	---	SNORD116	0.0	0.0	0.0	0.0
ENSSSCG00000018456	43.66	snoRNA	---	SNORD49A	76.0	88.0	108.0	81.0
ENSSSCG00000028894	57.5	snoRNA	---	SNORD39	0.0	0.0	0.0	0.0
ENSSSCG00000019555	44.96	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000033659	45.45	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000018462	39.73	snoRNA	---	SNORD65	232.0	159.0	187.0	207.0
ENSSSCG00000035184	40.19	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000036949	46.81	snoRNA	---	SNORD116	0.0	0.0	0.0	0.0
ENSSSCG00000038681	42.24	snRNA	---	U5	2.0	1.0	0.0	0.0
ENSSSCG00000019518	50.39	snRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000037200	39.66	snRNA	---	U5	3.0	9.0	0.0	0.0
ENSSSCG00000040299	42.06	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000037362	46.81	snoRNA	---	SNORD116	0.0	0.0	0.0	0.0
ENSSSCG00000018387	34.82	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000026188	38.14	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000031908	36.45	snRNA	---	U6	0.0	1.0	0.0	0.0
ENSSSCG00000034605	46.81	snoRNA	---	SNORD116	0.0	0.0	0.0	0.0
ENSSSCG00000020938	51.56	snoRNA	---	SNORA31	55.0	40.0	46.0	60.0
ENSSSCG00000018197	47.62	snoRNA	---	SNORD46	11.0	5.0	11.0	6.0
ENSSSCG00000019153	42.2	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000026614	39.19	snoRNA	---	SNORD107	0.0	0.0	0.0	0.0
ENSSSCG00000034636	50	snoRNA	---	---	27.0	20.0	25.0	18.0
ENSSSCG00000018576	50.47	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000038809	46.81	snoRNA	---	SNORD116	0.0	0.0	0.0	0.0
ENSSSCG00000018786	46.09	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000040971	44.86	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000020286	40.2	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000020214	32.67	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000039785	36	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000029376	38.32	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000038088	46.81	snoRNA	---	SNORD116	0.0	0.0	0.0	0.0
ENSSSCG00000019920	40.35	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000039038	41.35	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000020274	39.62	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000032033	46.24	snoRNA	---	SNORD116	0.0	0.0	0.0	0.0
ENSSSCG00000036023	41.35	snRNA	---	U6	1.0	0.0	0.0	0.0
ENSSSCG00000033678	42.06	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000038674	39.25	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000038860	39.25	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000040876	46.81	snoRNA	---	SNORD116	0.0	0.0	0.0	0.0
ENSSSCG00000024657	45.38	snoRNA	---	---	3.0	6.0	0.0	3.0
ENSSSCG00000027605	42.31	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000018107	40.38	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000022691	35.14	snoRNA	---	SNORD28	0.0	0.0	0.0	1.0
ENSSSCG00000033357	46.81	snoRNA	---	SNORD116	0.0	0.0	0.0	0.0
ENSSSCG00000018357	37.98	snoRNA	---	---	3.0	7.0	3.0	7.0
ENSSSCG00000031394	41.12	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000025642	57.52	misc_RNA	---	Metazoa_SRP	0.0	0.0	0.0	0.0
ENSSSCG00000020299	40.85	snoRNA	---	SNORD34	0.0	0.0	0.0	0.0
ENSSSCG00000045088	45.56	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000035485	46.81	snoRNA	---	SNORD116	0.0	0.0	0.0	0.0
ENSSSCG00000034626	38.89	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000024713	38.32	snRNA	---	U6	0.0	1.0	0.0	0.0
ENSSSCG00000043691	49.04	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000035576	46.81	snoRNA	---	SNORD116	0.0	0.0	0.0	0.0
ENSSSCG00000040758	51.4	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000033556	46.81	snoRNA	---	SNORD116	0.0	0.0	0.0	0.0
ENSSSCG00000020132	40	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000018995	45.36	snoRNA	---	SNORD7	0.0	0.0	0.0	0.0
ENSSSCG00000019544	43.59	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000018440	38.64	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000025916	46.34	snoRNA	---	SNORA70	0.0	0.0	0.0	0.0
ENSSSCG00000020544	56.3	snoRNA	---	SNORA70	0.0	0.0	0.0	0.0
ENSSSCG00000041547	49.04	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000020173	67.74	scaRNA	---	---	2.0	2.0	0.0	3.0
ENSSSCG00000037506	50.47	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000044634	41.12	snRNA	---	U2	0.0	0.0	0.0	0.0
ENSSSCG00000023375	41.75	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000019410	42.59	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000032338	52.34	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000050976	32.94	snRNA	---	U2	0.0	0.0	0.0	0.0
ENSSSCG00000036251	41.12	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000018482	40.43	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000028403	46.36	snoRNA	---	SNORA62	23.0	35.0	16.0	20.0
ENSSSCG00000030077	55.05	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000033940	45.79	snRNA	---	U6	0.0	2.0	0.0	0.0
ENSSSCG00000020512	48.18	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000019894	49.33	snoRNA	---	SNORA62	236.0	217.0	203.0	217.0
ENSSSCG00000042704	36.54	snRNA	---	U6	4.0	2.0	0.0	0.0
ENSSSCG00000034208	39.42	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000031156	42.45	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000035301	38.35	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000032593	46.43	snRNA	---	U1	0.0	0.0	0.0	0.0
ENSSSCG00000039642	38.32	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000028732	43.98	snRNA	---	U2	4.0	6.0	8.0	3.0
ENSSSCG00000034694	51.92	snoRNA	---	SNORD124	5.0	1.0	7.0	3.0
ENSSSCG00000029607	44.07	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000031408	32.89	snRNA	---	U4	0.0	0.0	0.0	0.0
ENSSSCG00000019229	42.06	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000033595	35.51	snRNA	---	U4	0.0	0.0	0.0	0.0
ENSSSCG00000018679	41.26	snRNA	---	U4	0.0	0.0	0.0	0.0
ENSSSCG00000039479	41.12	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000020090	41.51	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000041433	51.43	snRNA	---	U6	2.0	0.0	0.0	0.0
ENSSSCG00000019829	40.37	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000023577	34.15	snoRNA	---	SNORD121B	2.0	1.0	5.0	1.0
ENSSSCG00000040917	42.06	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000023224	32.98	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000030340	52.34	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000018689	37.35	snoRNA	---	SNORD121A	0.0	0.0	4.0	0.0
ENSSSCG00000041199	41.75	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000018471	51.65	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000039410	43.4	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000039263	45.52	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000022137	53.09	snoRNA	---	SNORD68	0.0	0.0	2.0	1.0
ENSSSCG00000038352	36.89	snRNA	---	U6	0.0	0.0	0.0	2.0
ENSSSCG00000019003	39.42	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000018620	54.96	snoRNA	---	---	79.0	90.0	108.0	139.0
ENSSSCG00000040668	45.79	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000021532	36.89	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000038609	58.52	snoRNA	---	SNORA17B	16.0	8.0	16.0	12.0
ENSSSCG00000019602	39.44	snoRNA	---	SNORD63	9.0	2.0	10.0	3.0
