!Series_title	Comparative Transcriptomic Profiling of Normal-Appearing and Scarred Areas of the Lungs Reveals Pathobiological Clues to Idiopathic Pulmonary Fibrosis																									
!Series_geo_accession	GSE99621																									
!Series_status	Public on Jan 24 2018																									
!Series_submission_date	Jun 02 2017																									
!Series_last_update_date	Sep 06 2018																									
!Series_pubmed_id	29329637																									
!Series_summary	RATIONALE: Idiopathic pulmonary fibrosis (IPF) is a fatal disease with overtly scarred peripheral and basilar lung regions and macroscopically unaffected central lung areas.																									
!Series_summary	OBJECTIVES: To gain better insight into IPF pathobiology by comparing transcriptomic profiles of normal-appearing and scarred regions of IPF lung.																									
!Series_summary	METHODS: Lung tissue samples from macroscopically unaffected (normal-appearing, IPFn) and scarred (IPFs) regions of explanted IPF lungs were analyzed by RNASeq and compared with healthy control (HC) lung tissues. RT-qPCR and immunohistochemistry were used to confirm selected findings.																									
!Series_summary	MEASUREMENTS AND RESULTS: Numerous previously reported IPF-associated gene expression disturbances as well as additional differentially expressed mRNAs were observed. There were profound transcriptomic changes in IPFn compared with HC tissues, which included elevated expression of extracellular matrix-, immunity- and inflammation-related mRNAs. The magnitude and statistical significance of these changes were comparable or greater than those in the IPFs-to-HC comparison. When directly compared with IPFn, IPFs tissues demonstrated elevated expression of epithelial mucociliary mRNAs. Compared with HC, both IPFn and IPFs tissues demonstrated reduced expression of mRNAs related to solute carrier membrane transport and metabolic processes. Primary fibroblast cultures from IPFn and IPFs tissues were transcriptomically identical.																									
!Series_summary	CONCLUSIONS: Macroscopically normal-appearing IPF tissues demonstrate profound disease activity and substantially similar transcriptomic profiles to scarred areas. Differences between these tissues are due to cell types other than fibroblasts and notably include enhanced expression of mucociliary genes in scarred areas. Deranged epithelial homeostasis or possibly non-transcriptomic factors may thus explain the marked architectural differences between normal-appearing and terminally scarred lung in end-stage IPF.																									
!Series_overall_design	RNASeq of 26 lung tissue samples from patients with IPF, including affected and unaffected areas of the lung, and from healthy controls																									
!Series_type	Expression profiling by high throughput sequencing																									
!Series_contributor	Sergei,P,Atamas																									
!Series_sample_id	GSM2648740 GSM2648741 GSM2648742 GSM2648743 GSM2648744 GSM2648745 GSM2648746 GSM2648747 GSM2648748 GSM2648749 GSM2648750 GSM2648751 GSM2648752 GSM2648753 GSM2648754 GSM2648755 GSM2648756 GSM2648757 GSM2648758 GSM2648759 GSM2648760 GSM2648761 GSM2648762 GSM2648763 GSM2648764 GSM2648765 																									
!Series_contact_name	Sergei,P,Atamas																									
!Series_contact_email	satamas@umaryland.edu																									
!Series_contact_phone	443-472-6237																									
!Series_contact_department	Department of Medicine																									
!Series_contact_institute	University of Maryland School of Medicine																									
!Series_contact_address	10 S. Pine St., MSTF 834																									
!Series_contact_city	Baltimore																									
!Series_contact_state	MD																									
!Series_contact_zip/postal_code	21201																									
!Series_contact_country	USA																									
!Series_supplementary_file	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99621/suppl/GSE99621_datamatrix.txt.gz																									
!Series_platform_id	GPL16791																									
!Series_platform_taxid	9606																									
!Series_sample_taxid	9606																									
!Series_relation	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA388978																									
!Series_relation	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP108496																									
																										
!Sample_title	HC11	HC12	HC21	HC22	HC23	HC31	HC32	HC33	IPF1n1	IPF1n2	IPF1n3	IPF1n4	IPF2n1	IPF2n2	IPF2n3	IPF3n1	IPF3n2	IPF3n3	IPF1s1	IPF1s2	IPF1s3	IPF2s1	IPF2s2	IPF2s3	IPF2s4	IPF3s1
!Sample_characteristics_ch1	macroscopic appearance: normal	macroscopic appearance: normal	macroscopic appearance: normal	macroscopic appearance: normal	macroscopic appearance: normal	macroscopic appearance: normal	macroscopic appearance: normal	macroscopic appearance: normal	macroscopic appearance: normal	macroscopic appearance: normal	macroscopic appearance: normal	macroscopic appearance: normal	macroscopic appearance: normal	macroscopic appearance: normal	macroscopic appearance: normal	macroscopic appearance: normal	macroscopic appearance: normal	macroscopic appearance: normal	macroscopic appearance: scarred	macroscopic appearance: scarred	macroscopic appearance: scarred	macroscopic appearance: scarred	macroscopic appearance: scarred	macroscopic appearance: scarred	macroscopic appearance: scarred	macroscopic appearance: scarred
!Sample_molecule_ch1	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA	total RNA
!Sample_extract_protocol_ch1	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations	Total RNA extracted with TRIzol reagent per manufacturer's recommendations
!Sample_extract_protocol_ch1	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)	Illumina library preparation using SPRIWorks HT (Beckman Coulter, Indianapolis IN)
!Sample_taxid_ch1	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606
!Sample_description	healthy control 1 area 1	healthy control 1 area 2	healthy control 2 area 1	healthy control 2 area 2	healthy control 2 area 3	healthy control 3 area 1	healthy control 3 area 2	healthy control 3 area 3	IPF patient 1 normal-appearing area 1	IPF patient 1 normal-appearing area 2	IPF patient 1 normal-appearing area 3	IPF patient 1 normal-appearing area 4	IPF patient 2 normal-appearing area 1	IPF patient 2 normal-appearing area 2	IPF patient 2 normal-appearing area 3	IPF patient 3 normal-appearing area 1	IPF patient 3 normal-appearing area 2	IPF patient 3 normal-appearing area 3	IPF patient 1 scarred area 1	IPF patient 1 scarred area 2	IPF patient 1 scarred area 3	IPF patient 2 scarred area 1	IPF patient 2 scarred area 2	IPF patient 2 scarred area 3	IPF patient 2 scarred area 4	IPF patient 3 scarred area 1
!Sample_description	OtB5154	OtB5155	OtB5156	OtB5157	OtB5256	OtB5159	OtB5160	OtB5161	OtB5162	OtB5163	OtB5164	OtB5165	OtB5170	OtB5172	OtB5259	OtB5178	OtB5179	OtB5180	OtB5166	OtB5254	OtB5169	OtB5174	OtB5175	OtB5258	OtB5177	OtB5264
!Sample_data_processing	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2	Transcript abundance was estimated using the htseq-count script of the Python package HTSeq 0.6.1p2
!Sample_data_processing	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly	Genome_build: hg19 / GRCh37 assembly
!Sample_data_processing	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements	Supplementary_files_format_and_content: Tab-delimited abundance measurements
!Sample_platform_id	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791	GPL16791
!Sample_contact_name	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas	Sergei,P,Atamas
!Sample_contact_email	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu	satamas@umaryland.edu
!Sample_contact_phone	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237	443-472-6237
!Sample_contact_department	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine	Department of Medicine
!Sample_contact_institute	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine	University of Maryland School of Medicine
!Sample_contact_address	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834	10 S. Pine St., MSTF 834
!Sample_contact_city	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore	Baltimore
!Sample_contact_state	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD
!Sample_contact_zip/postal_code	21201	21201	21201	21201	21201	21201	21201	21201	21201	21201	21201	21201	21201	21201	21201	21201	21201	21201	21201	21201	21201	21201	21201	21201	21201	21201
!Sample_contact_country	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA
!Sample_data_row_count	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
!Sample_instrument_model	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500	Illumina HiSeq 2500
